Date,simple_week,simple_day,simple_month,Open,KOR_short_ir,Dollar_index,Dowjones_index,Dow_medibio_index,Dow_medical_index,Nasdaq_index,Kosdaq_index,Kosdaq_trans,Kosdaq_medical_index,Kosdaq_medical_trans,Kospi_trans,new_confirm,agg_confirm,new_death,agg_confirm,new_confirm_t1,agg_confirm_t1,new_death_t1,agg_confirm_t1,new_confirm_t2,agg_confirm_t2,new_death_t2,agg_confirm_t2,keyword_cvd19,keyword_confirm,keyword_death,keyword_cvd19t1,keyword_confirmt1,keyword_deatht1,keyword_cvd19t2,keyword_confirmt2,keyword_deatht2,kospi_index
2020-06-18,25,5,6,1,0.5,0.71,0.54,0.88,0.68,0.91,0.49,0.7,0.67,0.98,0.79,0.67,0.9,0.67,0.95,0.59,0.9,0.67,0.95,0.55,0.9,0.67,0.95,0.97,0.91,0.46,0.91,0.41,0.46,0.98,0.41,0.46,0.37
2020-06-19,25,6,6,1,0.5,0.74,0.49,0.93,0.71,0.91,0.51,0.88,0.65,0.82,0.98,0.62,0.9,0.36,0.95,0.67,0.9,0.67,0.95,0.59,0.9,0.67,0.95,0.91,0.41,0.46,0.97,0.91,0.46,0.91,0.41,0.46,0.39
2020-06-20,25,7,6,0,0.5,0.74,0.49,0.93,0.71,0.91,0.51,0.88,0.65,0.82,0.98,0.71,0.9,0.36,0.95,0.62,0.9,0.36,0.95,0.67,0.9,0.67,0.95,0.53,0.41,0.46,0.91,0.41,0.46,0.97,0.91,0.46,0.39
2020-06-21,26,1,6,0,0.5,0.75,0.49,0.93,0.71,0.91,0.51,0.88,0.65,0.82,0.98,0.62,0.9,0.36,0.95,0.71,0.9,0.36,0.95,0.62,0.9,0.36,0.95,0.86,0.41,0.46,0.53,0.41,0.46,0.91,0.41,0.46,0.39
2020-06-22,26,2,6,1,0.5,0.67,0.53,0.92,0.7,0.92,0.55,0.77,0.68,0.67,0.81,0.45,0.9,0.36,0.95,0.62,0.9,0.36,0.95,0.71,0.9,0.36,0.95,0.91,1,0.46,0.86,0.41,0.46,0.53,0.41,0.46,0.36
2020-06-23,26,3,6,1,0.5,0.61,0.56,0.92,0.7,0.93,0.56,0.9,0.68,0.64,0.92,0.61,0.9,0.67,0.95,0.45,0.9,0.36,0.95,0.62,0.91,0.36,0.95,0.94,0.41,0.46,0.91,1,0.46,0.86,0.41,0.46,0.37
2020-06-24,26,4,6,1,0.5,0.68,0.39,0.87,0.6,0.9,0.59,0.77,0.7,0.84,0.91,0.63,0.9,0.36,0.95,0.61,0.91,0.67,0.95,0.46,0.91,0.36,0.95,0.72,0.91,0.46,0.94,0.41,0.46,0.91,1,0.46,0.43
2020-06-25,26,5,6,1,0.5,0.72,0.46,0.9,0.65,0.92,0.55,0.79,0.67,0.7,0.96,0.51,0.91,0.67,0.95,0.63,0.91,0.36,0.95,0.61,0.91,0.67,0.95,1,1,0.46,0.72,0.91,0.46,0.94,0.41,0.46,0.33
2020-06-26,26,6,6,1,0.5,0.72,0.3,0.86,0.58,0.88,0.55,0.88,0.65,0.64,0.78,0.57,0.91,0.36,0.95,0.51,0.91,0.67,0.95,0.63,0.91,0.36,0.95,0.94,0.41,0.46,1,1,0.46,0.72,0.91,0.46,0.37
2020-06-27,26,7,6,0,0.5,0.72,0.3,0.86,0.58,0.88,0.55,0.88,0.65,0.64,0.78,0.63,0.91,0.36,0.95,0.57,0.91,0.36,0.95,0.51,0.91,0.67,0.95,0.53,0.91,0.46,0.94,0.41,0.46,1,1,0.46,0.37
